layer,code,seq,name,removed_from_gmaps,lat,lon,source_url,description
mosque,群馬10,046,ダルッサラーム マスジッド（境町モスク）,False,36.2758858,139.2551462,,
mosque,群馬11,047,伊勢崎モスク,False,36.3294812,139.195464,,
mosque,群馬12,276,BERESTA MASJID,False,36.333807,139.0089499,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gw-FAcT2Ngk1RweJ2jz0UVezkLXwB4RpFdcLZl0iehFTN4Bby6bSC8idoiPlMJ79GYyx59pEN6F3nNgpuC-J7ELfGW3wvnxj9Q9fVFEYvI9cZzBhV0WbeHr1EuKo8auR6_E22ZOThlDuiBXd-uqn6TGM4AcshLBTzoP35OUznjbAr5bEmafBCkwqF-KG8wlTD10vmLqNs8Sl37mR7aoBn6zES25VGR7nVxX4BmUOG_fIsqlm3b33Cux4MY?fife=s16383,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gw-FAcT2Ngk1RweJ2jz0UVezkLXwB4RpFdcLZl0iehFTN4Bby6bSC8idoiPlMJ79GYyx59pEN6F3nNgpuC-J7ELfGW3wvnxj9Q9fVFEYvI9cZzBhV0WbeHr1EuKo8auR6_E22ZOThlDuiBXd-uqn6TGM4AcshLBTzoP35OUznjbAr5bEmafBCkwqF-KG8wlTD10vmLqNs8Sl37mR7aoBn6zES25VGR7nVxX4BmUOG_fIsqlm3b33Cux4MY?fife=s16383"" height=""200"" width=""auto"" /><br>群馬県高崎市高砂町５８"
mosque,群馬13,277,Darul Uloom Gunma madrasa and masjid,False,36.2530645,139.5059606,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxrekhW4e26kRJYxHPvQdNjxPBscJj7Fs_H8aLFJVVxeFYzHdeLSJt61Uk6Q9_56N9Wr7FP0k4vDT-WZNyA7B9Z9hvBsWYeHrBIuQsw4h0wCd-43Y4kp9b5oT60ENauoBBYNsvWVbsBcR7rEFQlBm5sgczT552oZrH5ZKgfDo-Gv8ccmIG7MQ3X0K_7qyJSXFTVuPdLIq6wlbLhxarWWHCMBrPnOTGcqBKqnu8I3cEH74Pw5XZazHZ9uU8?fife=s16383,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxrekhW4e26kRJYxHPvQdNjxPBscJj7Fs_H8aLFJVVxeFYzHdeLSJt61Uk6Q9_56N9Wr7FP0k4vDT-WZNyA7B9Z9hvBsWYeHrBIuQsw4h0wCd-43Y4kp9b5oT60ENauoBBYNsvWVbsBcR7rEFQlBm5sgczT552oZrH5ZKgfDo-Gv8ccmIG7MQ3X0K_7qyJSXFTVuPdLIq6wlbLhxarWWHCMBrPnOTGcqBKqnu8I3cEH74Pw5XZazHZ9uU8?fife=s16383"" height=""200"" width=""auto"" /><br>群馬県館林市北成島町２７６３−７"
mosque,埼玉01,258,Mushola alhidayah ogawamachi,False,36.0548446,139.261187,,
mosque,埼玉02,257,Asaka Musalla,False,35.821391,139.5862724,,
mosque,埼玉03,256,三郷モスク（バーブルイルム）,False,35.8129699,139.8823087,,
mosque,埼玉04,255,Yashio Gujarati Masjid ( New_Musalla_Khana ) Mosuku,False,35.8178811,139.8352676,,
mosque,埼玉05,254,Ansaru Deen Masjid,False,35.9508356,139.6472265,,
mosque,埼玉06,253,Warabi Baitunnoor Musollah,False,35.8283789,139.6881798,,
mosque,埼玉07,252,バイトゥル アクサ マスジド,False,35.8170264,139.6989737,,
mosque,埼玉08,075,Masjid Hatoyama ( E Usmani Ghani,False,35.9717742,139.3394966,,
mosque,埼玉09,076,八潮マスジド,False,35.7977909,139.8283719,,
mosque,埼玉10,080,Sugito Masjid & Darul Uloom Japan,False,36.0513394,139.7902018,,
mosque,埼玉11,065,THE MOROYAMA TABLIG MASJID,False,35.9430549,139.3470791,,THE MOROYAMA TABLIG MASJID مسجد التبليغ مروياما‎‎
mosque,埼玉12,066,一ノ割マスジド,False,35.9608783,139.7669417,,
mosque,埼玉13,070,Masjid Hazrat Bilal (RA),False,36.1390477,139.5084733,,
mosque,埼玉14,068,Masjid - E - Ayesha Siddiqua,False,36.2065516,139.1230617,,
mosque,埼玉15,069,三郷マスジド,False,35.857544,139.8639986,,
mosque,埼玉16,070,Bilal Mosque Hanyu,False,36.1387879,139.5084894,,
mosque,埼玉17,071,MASJID AS-SUNNAH,False,35.9508988,139.340521,,
mosque,埼玉18,072,マスジド ファルウケ アアザム,False,35.9141136,139.4983341,,
mosque,埼玉19,073,Masjid Al Huda ( Tokorozawa Saitama ),False,35.7855074,139.4643656,,
mosque,埼玉20,057,Kurihashi Masjid,False,36.1184577,139.689941,,
mosque,埼玉21,058,Kisai Masjid Kazo Saitama,False,36.1026557,139.5766274,,
mosque,埼玉22,059,Masjid Saitama - Saitama Muslim Cultural Association (SMCA),False,35.8679623,139.6081748,,
mosque,埼玉23,060,Hanyu Mosque/Masjid,False,36.1847774,139.5267752,,
mosque,埼玉24,061,Toda Madina Mosque,False,35.8081543,139.6626474,,
mosque,埼玉25,062,Kumagaya Musollah,False,36.1255711,139.3770996,,
mosque,埼玉26,063,バイトル・アマン・マスジド・コンプレックス,False,35.8636103,139.7855591,,
mosque,埼玉27,064,Iwatuski masjid SAITAMA DAR UL ULOOM,False,35.9313925,139.7026393,,
mosque,埼玉28,262,KAWAGOE JAME MASJID RAMZAN,False,35.8600218,139.467854,,
mosque,埼玉29,274,バイトル マムル ムサラ,False,35.8142285,139.704946,https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzvXZ_Am7FWrvw5g1p18BIbRtRYYM8T9WE2csJ4VzuzwFMBFh2JaHEE44p6zn9a5hCgsv3jk-AnCe36S_V6TV1hVvEZuQfOxYwDRRWLQ_wdzPyj9aDBsPoUl18mURTzVIqIxD15oM0_wW2bfj2VctNUxbN8FPZwwkTYZIURbOe0rCbNnbrEzfhQlIaAnpM_2gV_H7PJ9Y_ZZrijUEbhf8kPMuNCVzCfbM_97ttY863-Jt2aDiFCE_BltTE?fife=s16383,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzvXZ_Am7FWrvw5g1p18BIbRtRYYM8T9WE2csJ4VzuzwFMBFh2JaHEE44p6zn9a5hCgsv3jk-AnCe36S_V6TV1hVvEZuQfOxYwDRRWLQ_wdzPyj9aDBsPoUl18mURTzVIqIxD15oM0_wW2bfj2VctNUxbN8FPZwwkTYZIURbOe0rCbNnbrEzfhQlIaAnpM_2gV_H7PJ9Y_ZZrijUEbhf8kPMuNCVzCfbM_97ttY863-Jt2aDiFCE_BltTE?fife=s16383"" height=""200"" width=""auto"" /><br>埼玉県川口市西川口１丁目４−７<br>https://www.google.com/maps?cid=7928983005442302321"
mosque,千葉01,091,Noor Masjid,False,35.9984149,139.827999,,
mosque,千葉02,093,Kashiwa Masjid,False,35.8596724,139.9693071,,
mosque,千葉03,094,New Noor ul Huda masjid Juma 12:30,False,36.0164818,139.8440844,,
mosque,千葉04,096,Masjid Abu Bakr,False,36.0426585,139.8161705,,
mosque,千葉05,083,Bilal Masjid / Kisarazu Mosque,False,35.3873339,139.9404338,,
mosque,千葉06,084,FUJI AL-MADANI MASJID,False,35.7722463,140.0293945,,
mosque,千葉07,085,Yasin Kyokai Namiki Masjid Noda,False,36.0338083,139.8213488,,
mosque,千葉08,086,NPO法人 千葉イスラーム文化センター Masjid Nishi-Chiba CICC,False,35.6221561,140.1041893,,
mosque,千葉09,087,Aysha Masjid/Mosque,False,35.6048596,140.1992012,,
mosque,千葉10,088,Chiba Mosque / Masjid Juma Prayer 12:30,False,35.6651297,140.1344064,,
mosque,千葉11,089,ヒラ モスク 行徳,False,35.681515,139.9184797,,
mosque,千葉12,090,Shiroi Masjid,False,35.8154146,140.0592194,,
mosque,千葉13,074,MASJID AL-KARIMA ENOKIDO,False,35.6852827,140.2802421,,
mosque,千葉14,077,Toda masjid / Toda mosque,False,35.6405645,140.4007683,,
mosque,千葉15,078,一般社団法人成田イスラーム文化センター,False,35.729429,140.479182,,
mosque,千葉16,079,Hyuga Masjid (Marcus),False,35.6288601,140.3568329,,
mosque,千葉17,081,マスジドインドネシア旭 (Future),False,35.7045756,140.6537613,,
mosque,千葉18,082,四街道モスク(Masjid),False,35.6872005,140.1564756,,
mosque,千葉19,261,Masjid Al Quds Islamic Circle Of Japan,False,35.8016003,139.9178501,,Masjid Al Quds Islamic Circle Of Japan مسجد القدس اسلامک سرکل آف جاپان‎‎
mosque,千葉20,264,Mosque,False,35.7759449,139.9813301,,
mosque,東京01,250,赤羽モスク（Tokyo Central Masjid（proposede),False,35.7753904,139.7258993,,
mosque,東京02,225,Masjid Al Ikhlas Kabukicho,False,35.6949191,139.7037444,,
mosque,東京03,122,東京インドネシアモスク,False,35.6328695,139.7036106,,
mosque,東京04,124,錦糸町モスク,False,35.6951926,139.8157236,,
mosque,東京05,108,Machida Central Mosque,False,35.5627792,139.4211726,,
mosque,東京06,109,八王子マスジド,False,35.6647732,139.3234804,,
mosque,東京07,110,マスジド大塚,False,35.7291435,139.7282121,,
mosque,東京08,111,MACHIDA MASJID,False,35.5480604,139.455129,,
